[2023/12/18 08:42:43] {'model': 'anchor-based', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/ab_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.5, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 08:42:43] Start training on tvsum: split 0
[2023/12/18 08:43:51] Epoch: 56/300 Loss: 0.6653/0.5116/1.1768 F-score cur/max: 0.5807/0.6293
[2023/12/18 08:43:53] Epoch: 57/300 Loss: 0.6708/0.5020/1.1728 F-score cur/max: 0.5857/0.6293
[2023/12/18 08:43:54] Epoch: 58/300 Loss: 0.6659/0.5235/1.1894 F-score cur/max: 0.5963/0.6293
[2023/12/18 08:43:55] Epoch: 59/300 Loss: 0.6541/0.4909/1.1451 F-score cur/max: 0.5456/0.6293
[2023/12/18 08:43:56] Epoch: 60/300 Loss: 0.6707/0.4891/1.1598 F-score cur/max: 0.5505/0.6293
[2023/12/18 08:43:57] Epoch: 61/300 Loss: 0.6642/0.4697/1.1339 F-score cur/max: 0.6004/0.6293
[2023/12/18 08:43:58] Epoch: 62/300 Loss: 0.6511/0.4642/1.1153 F-score cur/max: 0.5446/0.6293
[2023/12/18 08:43:59] Epoch: 63/300 Loss: 0.6554/0.4798/1.1352 F-score cur/max: 0.5661/0.6293
[2023/12/18 08:44:00] Epoch: 64/300 Loss: 0.6562/0.4538/1.1100 F-score cur/max: 0.5664/0.6293
[2023/12/18 08:44:01] Epoch: 65/300 Loss: 0.6567/0.4736/1.1302 F-score cur/max: 0.5782/0.6293
[2023/12/18 08:44:02] Epoch: 66/300 Loss: 0.6511/0.4887/1.1399 F-score cur/max: 0.6032/0.6293
[2023/12/18 08:44:03] Epoch: 67/300 Loss: 0.6454/0.4858/1.1312 F-score cur/max: 0.5961/0.6293
[2023/12/18 08:44:05] Epoch: 68/300 Loss: 0.6399/0.4703/1.1102 F-score cur/max: 0.6018/0.6293
[2023/12/18 08:44:06] Epoch: 69/300 Loss: 0.6556/0.4417/1.0974 F-score cur/max: 0.5934/0.6293
