[2023/12/18 02:35:23] {'model': 'anchor-free', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/af_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.4, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 02:35:23] Start training on tvsum: split 0
[2023/12/18 02:36:13] Epoch: 64/300 Loss: 0.2998/0.5852/0.6060/1.4910 F-score cur/max: 0.5127/0.6124
[2023/12/18 02:36:13] Epoch: 65/300 Loss: 0.3050/0.5658/0.6083/1.4791 F-score cur/max: 0.5197/0.6124
[2023/12/18 02:36:14] Epoch: 66/300 Loss: 0.2967/0.5764/0.6012/1.4742 F-score cur/max: 0.5196/0.6124
[2023/12/18 02:36:15] Epoch: 67/300 Loss: 0.2904/0.5763/0.5996/1.4663 F-score cur/max: 0.5291/0.6124
[2023/12/18 02:36:15] Epoch: 68/300 Loss: 0.2875/0.5702/0.6058/1.4636 F-score cur/max: 0.5156/0.6124
[2023/12/18 02:36:16] Epoch: 69/300 Loss: 0.2905/0.5712/0.5966/1.4583 F-score cur/max: 0.5066/0.6124
[2023/12/18 02:36:17] Epoch: 70/300 Loss: 0.2898/0.5736/0.6000/1.4634 F-score cur/max: 0.5049/0.6124
[2023/12/18 02:36:17] Epoch: 71/300 Loss: 0.2837/0.5674/0.5997/1.4508 F-score cur/max: 0.5196/0.6124
[2023/12/18 02:36:18] Epoch: 72/300 Loss: 0.2777/0.5738/0.5979/1.4493 F-score cur/max: 0.5277/0.6124
[2023/12/18 02:36:19] Epoch: 73/300 Loss: 0.2700/0.5621/0.5982/1.4304 F-score cur/max: 0.5233/0.6124
[2023/12/18 02:36:19] Epoch: 74/300 Loss: 0.2764/0.5487/0.5998/1.4249 F-score cur/max: 0.4807/0.6124
[2023/12/18 02:36:20] Epoch: 75/300 Loss: 0.2704/0.5646/0.5967/1.4317 F-score cur/max: 0.5081/0.6124
[2023/12/18 02:36:21] Epoch: 76/300 Loss: 0.2734/0.5500/0.5966/1.4200 F-score cur/max: 0.5038/0.6124
[2023/12/18 02:36:21] Epoch: 77/300 Loss: 0.2656/0.5530/0.5960/1.4146 F-score cur/max: 0.5196/0.6124
[2023/12/18 02:36:22] Epoch: 78/300 Loss: 0.2624/0.5512/0.5933/1.4068 F-score cur/max: 0.5015/0.6124
[2023/12/18 02:36:23] Epoch: 79/300 Loss: 0.2674/0.5551/0.5898/1.4122 F-score cur/max: 0.4989/0.6124
[2023/12/18 02:36:23] Epoch: 80/300 Loss: 0.2584/0.5503/0.5953/1.4040 F-score cur/max: 0.5051/0.6124
[2023/12/18 02:36:24] Epoch: 81/300 Loss: 0.2582/0.5387/0.5882/1.3850 F-score cur/max: 0.5089/0.6124
